,ds_name,_id,confidence,orig_text,pred_text,font_color,all_mean_edge_colors
0,fb,28461,17.21833,red bull gives you wings vodka gives you 4x4,hel (dol chves vou wings a vodka gives you ay,white,128.58998639163772
1,fb,64905,96.162857,when you get to choose your own mental illness,coe $9 < ce) o® os oe sps on ls xx on well vou yen it) choose your own menta,white,196.7008721275201
2,fb,58947,0.0,dumb and happy,/ dumb ,white,56.93959211932762
3,fb,14590,88.661865,fifty shades of goat an isis love story,fifty shades of goat an isis love stor,white,80.4314699442593
4,fb,75260,56.057098,pot holes what a great way to wake you up,pot holes what a great way to wake you u,white,129.28377624549336
5,fb,92013,95.191376,"""heeeadddd shoulders wheel and frame wheel and frame""",“heeeadddd shoulders wheel and frame wheel rated fram,white,82.05316303573669
6,fb,59402,90.878143,how much did the holla cost,how much did the holla cos,white,40.71523550311807
7,fb,35869,0.0,smoochies from donald on your birthday!!!,smoochies from donald your hirthday!,white,46.34586179871244
8,fb,42871,6.978073,immigrant problem problem fixed,immigrant problem problent tixe,white,133.769779756797
9,fb,14297,96.563713,president trump has suggested random drug tests be performed on members of congress,president trump has suiggested raniom drug tests he performed on members ai congres,white,75.25753423417086
10,fb,27304,89.454514,what a cute little baby bacon,what 7.0 cute little haby haco,white,30.312320547771634
11,fb,97543,96.881218,this is what whoring pray yourself out to a bitches. religion you've never followed looks like,this is what whorilig yourself; olit to a way bitches. religion you've never followed looks lik,white,105.03736690891775
12,fb,27860,70.650551,breastfeed a 42 year old expelled from kfc for breastfeeding her 42-year-old son shit white people do,"breastieer""a vw) veal ‘oltl exnellent irom ki for breastieedingy her 42-year-olll son shit white people l",white,190.15030059157806
13,fb,68713,96.59034,dad?!? the dishwasher and the sandwichmaker are on the fritz again,dadata ne ‘dishwasher: antl tte sandwichmaker are the fritz agai,white,169.09111943167153
14,fb,17528,94.557503,blame other countries for having no culture rape women everyday,blame other countries for having no culture rape women everyda,white,13.652232598567178
15,fb,51498,31.393578,"how to trigger liberals in 3, 2, 1 #whiteprideworldwide",how to trigger liberals in 32.1 ,white,125.78651468944237
16,fb,49038,96.309799,bitches be like.. he got money though,bitches he like.. he got money thoug,white,61.512614921191876
17,fb,13859,94.555847,the fuck did you just say?,the fuck did you just say,white,67.14087145228943
18,fb,93215,67.604324,paper is white and paper beats rock,paber fis wate) antl wane eats roe,black,254.76795580110496
19,fb,20814,96.785706,but i'm happy in my little home the world changes around me,but im hanpny in my little home the world changes: around m,white,59.11232809658469
20,fb,42931,50.405342,when you'res high as fuck and hear a loud sound the fuck was that,when houtes iitich as fnek syndl rear g lond som ihe fer was tha,black,254.76437282229966
21,fb,31857,2.997284,this is nahir born in germany. nahir is german. this is fluffy born in america. fluffy is american,this is nahir horn in germany. nahir is german. this is fluify born in anierica flutty is america,white,75.46889310310235
22,fb,37091,90.704277,my sandwich-maker is very slow today,my sandwich-maker is very slow toda,white,85.23713205554098
23,fb,05476,92.787453,greetings white person time to die,greetings white person. time to tli,white,151.01055546474313
24,fb,85472,95.276985,once we are done destroying our country we'll move to yours!,once we are lone tlestroying our country well move to yours,white,128.69994690753654
25,fb,64820,96.827591,strike fear in the hearts of the infide.. shut! up!,strike fear in the hearts of the infitle.. shut! up,white,117.45706473669937
26,fb,37601,95.411171,my favorite sex position is the challenger i go hard for 73 seconds then prematurley blow,favorite sex position is the challenger go for 73-seconds then prematurley blo,white,49.49958622110727
27,fb,94150,96.889397,america be like never forget get over it,mmerica ne ike) never get over i,white,176.00956495714982
28,fb,10639,11.099541,now i'm gonna use two fingers,u now fin gonna se two) {fier,black,230.10730198795997
29,fb,09468,95.974442,prospective without white '' '',prospective without whit,white,112.18273384261693
30,fb,07539,90.919357,redneck word of the day: twerk imma have a few beers before i get back twerk,retlneck worl ofthe day: {werk lave 4.0 few ‘teers hefore| hack twer,white,56.72820538272483
31,fb,76021,93.681015,hey kids for a good time dial #666-hot dawg,hey kids for a good time dial #666zi0t daw,white,91.1835989289188
32,fb,63720,0.0,i dont like sandwiches . oh well nevermind ..,hout like: ‘saritlwichesm on iweilneveri,white,162.95482465280762
33,fb,87436,0.0,and that was the last nativity play my son was invited to take part in,=uinal that vw the es =atliwity aplaay mv wv ui witte paar,white,89.51447761112307
34,fb,10278,76.838776,of duty call new zealand,call duty of new zealan,white,33.80053577964971
35,fb,96083,89.757889,we give your holy flag praise our lord and enslaver,we give your holy flag lraise our lord and enslave,white,63.26202025946725
36,fb,08569,45.552334,weekend friendship brunch date,weekent friendsi) brunch crate,white,143.0903376199137
37,fb,92835,71.814285,my mom says if i get 1m likes they'll pull the plug,ny om says if get hl likes they'll pull the plu,white,173.40896259983467
38,fb,25079,78.259056,le 40% suicide rate has arrived,le ad suicide rate has arrive,white,0.0
39,fb,14650,4.933838,when someone asks to be my friend,wiel someone) asks to he my fkient,white,196.78993673955262
40,fb,14573,96.145432,japanese fashion trends,japanese fashion trend,white,60.87576687465272
41,fb,46837,96.64386,leftist logic: it's bad for russia to interfere in our elections.. ...but it's ok for illegal immigrants to vote,"leftist logic: it’ s had for russia to interfere in our elections.. hut it’ s ok for illegal immigrants, to vot",white,88.38520091799178
42,fb,48639,43.992153,disney and chill ?,disiey antl etl a,white,197.49105669728885
43,fb,80241,0.0,"we are no longer a christian nation whatever we once were ""the future must not belong to those who slander the prophet of islam "" """,we are 0.0 loney p enistm maton wtae nm one? were tlie) une mm im nelona) ih hine rin) gani ie mou nl isl,black,236.25271690367606
44,fb,45317,96.284958,i'm trying to decide if i should start some shit today or not,im trying to decide if j should start some shit today or not,white,53.01268655840376
45,fb,06315,50.170673,solution to mexicans paying for the wall leave all the illegals hanging around the border,"solution (0) wnexxiigans paying: tor the wall leave alithe illegals hanging around, tite liorder",white,125.92874514418115
46,fb,45286,95.818604,"i would love to be excited about the women's soccer team's victory. but, this guy ruined it for me",would love to he excited about the womell s soccer team s victory. but this guy ruined for m,white,92.5608723278239
47,fb,59617,53.420799,time to play cowboys and muslims,time to ulay cowboys and muslim,white,169.08098159655037
48,fb,02657,90.879395,oh look someone's returning a broken sandwich maker to walmart,"ob ook soincone ""g returning 4.0 broken sandwich maker to walinar",white,156.3195421983913
49,fb,53810,80.246628,do nothing about global poverty while sitting on golden throne and holding golden stick goes to heaven spend more than half of his fortune to fight global poverty goes to hell go home logic..!! you are drunk,lo nothing ahout global poverty while sitting on golden throne antl holding yolden slick goes to heaven more thai: halfot fortune) ‘glolal: foverty oes; to gohome logic..!! you are drun,white,37.39621032890807
50,fb,09432,16.719627,you've been hungerstruck!!,"you ""ye been huungersthuek",white,67.93521917913507
51,fb,14052,41.476341,this is racist but this is not?????,this is racist but thn} fg w,white,123.49020490097654
52,fb,94605,55.589767,he was a world savior only if stupid people would understand,he was. 4.0 world sault only if stupid feople wwoultl understan,white,158.97695426157523
53,fb,43170,96.771881,you funny jew i kill you last,you funny jew kill you las,white,83.37059227404269
54,fb,61094,92.391609,my neighbour ordered a blow-up doll from a muslim sex shop,my neighbour ordered 4.0 blow-up loll rom 4.0 mustini pk sho,white,108.96397312445065
55,fb,70396,95.86039,sometimes i crunch up my jizz when it dries then i bring the white powder to parties and watch people snort my cock sand,sometimes crunch ud my when it dries then tring the white nowder to parties and watch people snort ny cock san,white,124.67470703387342
56,fb,06198,0.0,"""vieques u.s. territory march 2019"" constant military bomb explosions!! """,ie ess le inarch 2019.0 constant military bomb explosions,white,150.3667780878673
57,fb,92308,66.878815,april 15 tax reminder don't forget to pay your taxes. 21 million illegal aliens are depending on you! muchas' gracias!,1s rannindar wnt forget faxes allians are fanny ,black,203.252762919902
58,fb,12460,95.561264,when people just talk about weed and forget your birthday (sad racist noises),when people just talk about wee ant forget your birthday (sad racist noises,white,57.75996134967957
59,fb,70623,30.466385,mess with me and you mess with the whole trailer park!,mess with me and you mess with the whole trailer fark,white,96.90801552988096
60,fb,14327,96.656975,"hunting it's not a hobby, it's a way of life","hunting it's not q hobby, its 9.0 way of life",white,79.69405540725543
61,fb,16873,96.054382,"i know you like her son, but you can't just pull a girls hair... until she's 30 or so. they actually come around on this one","know vou like hew son, but vou cant justi ull a otis liair... she's30 or so they actually cone around this one",white,139.68005438946548
62,fb,67059,80.993179,"if you believe that, i've got a virgin goat to sell you!","if you helieve that, i've gol ay ving yoat 10.0 sell you",white,88.82106108959653
63,fb,50723,13.021935,i will lie. i will sleep with anyone. i will attack sexual perverts like joe biden in my own party to get ahead! i will let illegals murder americans. i will let newborns be i want to be your comfortable and executed president!,will fe wl} geen wn] amo will attack sextal dawes ie foo biden fi ity? own party} to oat aneads will let miecalsy murder ameniganss hill let newhons he comfortable) arn excel walle {a iti your inesiien,black,210.10437539669772
64,fb,48625,62.191166,reaction to a home invasion non gun owner: we're gunna die!!! gun owner: i'm your huckleberry,"réaction to 9.0 home invasion non gun owner: we re gunna (liel! owner"" ii your huckleherr",white,91.57516465535898
65,fb,10792,33.584938,guys what the fuck what the actual fuck,guys what the fuck what the actual (ug,white,121.89172771718493
66,fb,72561,82.150398,back in my day blowing a tranny meant car trouble,hack in iy flay blowing {tranny meant car {roubl,white,74.8523951573325
67,fb,49156,36.103416,when you insult an edgy kid,wiel vou insult edgy kie,white,166.93223771064655
68,fb,16509,53.81768,feed the greed hello i'm sir trevor chinn i control tom watson by money it's what zionists do,feal] ie oneal allio rim sit trevor enim an {tom wals ln] money its what zionists l,black,203.51975281033623
69,fb,93186,96.514923,that's the way allah allah i like it,that's the way allah allah like i,white,64.70511424419111
70,fb,57913,86.526161,there was a 4 car pile-up in mexico today 93 people died,there was a 4.0 car pile-up in mexico - _ oy a today 93.0 people tie,white,43.991741057078535
71,fb,71045,40.797699,cutest little beagle in the whole wide world,guest tile heat fim {ie witole wide wor,black,223.24851090064905
72,fb,28491,57.119377,that post was so shit mel gibson is making a film about it,"that post was so, shit mel gibson is making a fli ahout fi",white,145.59079193994597
73,fb,35729,95.11232,looking for attention? join us,looking for aten join u,white,171.1576225928196
74,fb,90723,84.809639,every man needs a decent coffee maker,every man needs g clegerit cofiee make,white,179.15086663157612
75,fb,97348,96.204231,we have to exterminate all gays,we have torextenminate all gay,white,22.544844038469712
76,fb,70329,43.933685,"i'm not gay, but for 20$ you can ramit inmah ashol","im ole oa, not im 205) vou can ramit inmah aslrol",white,171.30999954705985
77,fb,62314,86.043381,manditory vaccinations with no exemptions i do nazi the problem....,"manditory vaccinations with no exemptions i,10 nazi the problem",white,52.90365311329472
78,fb,85073,61.470634,"*hits blunt* 'dog food lid' spelled backwards is ""dildo of god'",hits blunt ral tale ‘dog food lid’ spelled hackwards is aclildo of got,white,99.8452632068426
79,fb,61793,95.522865,black people anything that doesn't belong to them,black people anything that doésn t helong to the,white,104.42516909148603
80,fb,37419,95.052666,when the turbulence in the plane gets intense,when the turbulence in the plane gets intens,white,65.24007651643424
81,fb,30591,42.200947,i hate snow it's white and on my land,"inatia snow irs white) antl on tl, lan",black,221.08926573223425
82,fb,71348,96.633148,oi!!! that's not the umbilical cord,one that's wot the uumbi ral cor,white,159.8408475994642
83,fb,69758,95.385399,cotton farm,cotton far,white,139.49093698913012
84,fb,90842,71.865601,what in the f*ck is almond milk? it's milk! show me the tit on an almond,what in the if ck is almontil milk? it's milk? show me the tit on an almon,white,51.1097993386614
85,fb,39028,94.599884,i am a gamer not because i don't have a life but because i hate women and minorities,am a gamer not hecause don't have q life hut hecause hate women and minoritie,white,45.98071604028655
86,fb,84592,79.716125,give me the bread or i'll kick you pregnant transgender,cin me tite bread or kick you pregnant transgente,white,130.91557856177508
87,fb,64758,29.04232,when ur so excited to beat the essential oils out of a manbun that you almost snap your hippie stick,"whell ur so excited to beat. the essential oils. out of 7.0 manbiimn. giait polite, port es that you almost s yor hipwe stig",white,109.91486764412967
88,fb,82163,96.563942,please make them white,please make them whit,white,49.13977379099081
89,fb,93471,90.835968,when you haven't stolen for over 2 weeks.,when you haven’ i stolen for over ? weeks.,white,44.26422313488696
90,fb,31487,75.683945,when you accidently hit the bees nest outside,"wien ou acei hit ite, hees nest outsid",white,189.36809917187412
91,fb,80251,96.274475,we talked about it i agreed dinner would be ready on time in the future,"wwe talket aanout ht agree dinner would lie really, ‘on time in ihe futur",white,162.06061199779907
92,fb,91724,96.106056, my life goal? make somebody this fucking triggered,ny) (hie goalp male somelnodhy tinis fueling triggere,black,201.63397678935684
93,fb,23807,96.193047,laughs in 52% of us crime rate,raughs; fi! ayn of us crime rat,white,169.6942058799196
94,fb,86907,40.280334,i came to fingerpaint and fuck and im all out of poop,came to) iitarmain andl fen anit fin olt on poo,black,217.76506928382895
95,fb,89503,36.422997,"are my sins forgiven now, father?","‘ake: in, sis forgiven ow, fathe",white,188.39029173423464
96,fb,91584,11.83371,coffee is ready,cotiee is read,white,71.06513915507723
97,fb,40651,94.681305,you see this pig? it's called muhammad,you see this big? it's called muhamma,white,65.8170732399435
98,fb,84790,91.97464,the first president they can't control ...and they don't likeit!,the first yiresident dhey canii eontrol make america strong again ump cr * aet r mp and trey don't likeit,white,114.99091563452396
99,fb,01468,0.0,"assad: my son exploded better than yours, lol hamid:","assail: my son exploded, better than yours, lol hamit",white,140.5032978284679
100,fb,31209,92.451645,i got fired from a restaurant for sticking my fingers in the dishwasher i'm wondering why they didn't fire her too,got fired from restaurant for sticking my fingers ill. the dishwasher i'm wondering whiy thtey: didn't fire he,white,123.49992941001005
101,fb,97256,21.942429,we destroy the world and kill a lot of people. know the history and learn from it,"we flestroy the world and kill 4.0 lot a people, know history and learn iromi",white,67.37261559708759
102,fb,71320,92.116966,don't blame me fuel was expensive,clon nlane hile) fuel was expensiv,white,151.99242573316903
103,fb,08163,90.297035,i told my gay friend that i can turn fruits in to vegetables and he told me to prove it so i pushed him off a balcony,my my hay yay fnentlthati nu i prove soi pushed him olia halcon,white,81.21243966995016
104,fb,17623,75.492134,how do you like my retro red bike?,how an vou! like my retro red nike,white,195.7739380218871
105,fb,58027,54.922138,after group sex mohammed is very tired,atter group sex mohammed is very: tiret,white,115.39108724380984
106,fb,80534,94.626213,they trained you to hate the only man with the balls to stand up to them,they trained youdto. hate the only man with the halls to stand to the,white,47.21723922236058
107,fb,92314,68.297928,the difference between you and hitler at least hitler could use an oven,the diiiperence hetiween ware antl initer byt east ier could se ain ove,black,229.45765383315185
108,fb,51209,94.917709,just for control ne this is my current mood,just for control ne oo oe oo this is my current moo,white,71.57728028002607
109,fb,96720,84.243118,sometimes i crunch up my jizz when it dries and i bring the white powder to parties and watch people snort my cock sand,sometimes crunch ttt] ny jizz wheil it tries and bring the white powtler to parties antl watch peonle snort my cock san,white,91.85028914642054
110,fb,34765,96.719452,when you find a girl that accepts your holocaust fetish,when you tind a girl that accepts your holocaust fetis,white,40.945414315778464
111,fb,97542,49.025551,meanwhile at the isis strip club,meanwhile at the isis strip clu,white,95.78678343482126
112,fb,98731,79.344292,who farted ?,who farted ,white,77.59919810461089
113,fb,45723,0.0,happy birthday i made you a drink,happy hirthday rinade you 4.0 cl,white,102.97437125080978
114,fb,09217,0.0,overdose,overdos,white,122.71739130434783
115,fb,16437,96.428497,unnecessary life-vest ice cubes float,va\win\el life-vest ice cubes floa,white,81.03202712842713
116,fb,75106,52.516933,when you find someone with the same taste in memes,when vou {find someoone with the same taste inl iineme,white,146.27014599916143
117,fb,79806,0.20977,"when you ask them if they're having a seizure but they just spasm on the ground instead of answering you all right, then. keep your secrets",mien vou ash them thevte naving) same jute huis sirasiii a file insteatl wi fanswe v0 keen vouf secheis,black,214.0314398227749
118,fb,53427,65.124756,ahmed i love you too,ahmed love you to,white,31.293720872005437
119,fb,32915,96.815269,when you haven't stolen anything in a week,when you haven't stolen anything in bs) wee,white,55.23968409087955
120,fb,47358,50.734497,vietnamese people be like hand me da meat hammer so i can torture john mccain's bawrr sack,wetamese pveonle he like hain nite} la meat hammer so) can tortiré jon meeain s wawtt sac,white,169.86430850398926
121,fb,30546,93.699165,white people be like: outside inside,white people he like: ch play “2 biitside insid,white,68.29997936695764
